

# t          S            I            R           
1.654        7509.999     5706463.730  286426.271  
1.659        7192.152     5704928.223  288279.625  
1.663        6887.745     5703379.202  290133.052  
1.668        6596.211     5701817.232  291986.557  
1.672        6317.004     5700242.853  293840.143  
1.677        6049.603     5698656.584  295693.813  
1.682        5793.510     5697058.920  297547.570  
1.686        5548.247     5695450.337  299401.416  
1.691        5313.355     5693831.290  301255.355  
1.695        5088.396     5692202.215  303109.390  
1.700        4872.950     5690563.528  304963.523  
1.704        4666.615     5688915.629  306817.756  
1.709        4469.007     5687258.901  308672.092  
1.714        4279.755     5685593.710  310526.534  
1.718        4098.508     5683920.408  312381.084  
1.723        3924.927     5682239.330  314235.744  
1.727        3758.687     5680550.798  316090.516  
1.732        3599.478     5678855.120  317945.402  
1.736        3447.004     5677152.591  319800.405  
1.741        3300.980     5675443.494  321655.526  
1.746        3161.133     5673728.100  323510.768  
1.750        3027.202     5672006.667  325366.131  
1.755        2898.936     5670279.444  327221.620  
1.759        2776.098     5668546.668  329077.234  
1.764        2658.456     5666808.568  330932.976  
1.768        2545.792     5665065.360  332788.848  
1.773        2437.896     5663317.254  334644.851  
1.778        2334.564     5661564.449  336500.987  
1.782        2235.606     5659807.136  338357.258  
1.787        2140.836     5658045.500  340213.665  
1.791        2050.076     5656279.714  342070.210  
1.796        1963.157     5654509.947  343926.895  
1.801        1879.918     5652736.360  345783.722  
1.805        1800.202     5650959.107  347640.691  
1.810        1723.860     5649178.334  349497.805  
1.814        1650.751     5647394.184  351355.065  
1.819        1580.736     5645606.791  353212.473  
1.824        1513.686     5643816.284  355070.030  
1.828        1449.475     5642022.787  356927.739  
1.833        1387.982     5640226.418  358785.600  
1.837        1329.094     5638427.291  360643.615  
1.842        1272.699     5636625.515  362501.786  
1.847        1218.693     5634821.192  364360.115  
1.851        1166.974     5633014.423  366218.603  
1.856        1117.446     5631205.302  368077.252  
1.861        1070.016     5629393.920  369936.064  
1.865        1024.595     5627580.365  371795.040  
1.870        981.098      5625764.719  373654.183  
1.874        939.445      5623947.062  375513.493  
1.879        899.556      5622127.470  377372.974  
1.884        861.357      5620306.017  379232.626  
1.888        824.777      5618482.770  381092.453  
1.893        789.747      5616657.797  382952.455  
1.898        756.202      5614831.162  384812.636  
1.902        724.079      5613002.925  386672.996  
1.907        693.317      5611173.144  388533.539  
1.911        663.860      5609341.874  390394.266  
1.916        635.651      5607509.169  392255.180  
1.921        608.638      5605675.079  394116.283  
1.925        582.771      5603839.651  395977.578  
1.930        558.000      5602002.933  397839.067  
1.935        534.280      5600164.967  399700.753  
1.939        511.565      5598325.795  401562.639  
1.944        489.814      5596485.458  403424.727  
1.949        468.986      5594643.993  405287.021  
1.953        449.041      5592801.436  407149.523  
1.958        429.943      5590957.821  409012.237  
1.963        411.654      5589113.181  410875.165  
1.967        394.141      5587267.547  412738.312  
1.972        377.372      5585420.948  414601.680  
1.977        361.314      5583573.412  416465.274  
1.981        345.937      5581724.965  418329.097  
1.986        331.214      5579875.633  420193.154  
1.991        317.115      5578025.438  422057.447  
1.995        303.614      5576174.403  423921.983  
2.000        290.687      5574322.549  425786.764  
2.005        278.308      5572469.896  427651.796  
2.009        266.455      5570616.461  429517.084  
2.014        255.105      5568762.262  431382.633  
2.019        244.237      5566907.316  433248.447  
2.024        233.831      5565051.636  435114.533  
2.028        223.866      5563195.238  436980.896  
2.033        214.325      5561338.133  438847.541  
2.038        205.189      5559480.334  440714.477  
2.042        196.441      5557621.851  442581.707  
2.047        188.065      5555762.694  444449.241  
2.052        180.045      5553902.872  446317.084  
2.056        172.365      5552042.392  448185.243  
2.061        165.012      5550181.261  450053.728  
2.066        157.971      5548319.485  451922.544  
2.071        151.229      5546457.069  453791.702  
2.075        144.774      5544594.017  455661.209  
2.080        138.594      5542730.331  457531.075  
2.085        132.676      5540866.015  459401.309  
2.089        127.009      5539001.070  461271.921  
2.094        121.584      5537135.495  463142.922  
2.099        116.389      5535269.290  465014.321  
2.104        111.415      5533402.454  466886.131  
2.108        106.652      5531534.984  468758.363  
2.113        102.093      5529666.877  470631.030  
2.118        97.727       5527798.129  472504.144  
2.123        93.546       5525928.735  474377.719  
2.127        89.544       5524058.688  476251.768  
2.132        85.712       5522187.981  478126.307  
2.137        82.043       5520316.607  480001.350  
2.142        78.530       5518444.556  481876.914  
2.146        75.166       5516571.819  483753.015  
2.151        71.946       5514698.384  485629.671  
2.156        68.862       5512824.239  487506.899  
2.161        65.910       5510949.371  489384.719  
2.166        63.084       5509073.766  491263.150  
2.170        60.378       5507197.409  493142.213  
2.175        57.787       5505320.283  495021.930  
