# phi      u         
10.579     0.706     
10.677     0.746     
10.773     0.789     
10.868     0.832     
10.960     0.876     
11.051     0.920     
11.141     0.964     
11.230     1.009     
11.319     1.053     
11.408     1.097     
11.499     1.142     
11.592     1.186     
11.686     1.229     
11.783     1.272     
11.884     1.313     
11.987     1.353     
12.094     1.390     
12.200     1.423     
12.302     1.450     
12.401     1.473     
12.498     1.490     
12.592     1.503     
12.685     1.511     
12.777     1.515     
12.868     1.515     
12.959     1.511     
13.050     1.503     
13.141     1.491     
13.232     1.475     
13.324     1.455     
13.418     1.431     
13.513     1.403     
13.609     1.371     
13.709     1.335     
13.811     1.294     
13.917     1.248     
14.024     1.200     
14.129     1.151     
14.230     1.101     
14.328     1.053     
14.424     1.005     
14.517     0.959     
14.609     0.913     
14.700     0.869     
14.793     0.825     
14.885     0.783     
14.979     0.742     
15.074     0.703     
15.172     0.666     
15.271     0.632     
15.374     0.600     
15.477     0.572     
15.578     0.549     
15.678     0.531     
15.775     0.519     
15.871     0.510     
15.965     0.507     
16.059     0.507     
16.153     0.512     
16.246     0.522     
16.340     0.535     
16.435     0.553     
16.530     0.575     
16.627     0.602     
16.726     0.632     
16.827     0.668     
16.931     0.708     
17.037     0.752     
17.141     0.798     
17.243     0.845     
17.343     0.893     
17.441     0.941     
17.538     0.989     
17.634     1.037     
17.731     1.085     
17.829     1.133     
17.929     1.181     
18.032     1.228     
18.138     1.275     
18.246     1.319     
18.359     1.362     
18.476     1.401     
18.590     1.435     
18.700     1.462     
18.808     1.484     
18.912     1.499     
19.015     1.510     
19.116     1.515     
19.216     1.515     
19.315     1.511     
19.415     1.501     
19.515     1.487     
19.615     1.468     
19.717     1.444     
19.820     1.415     
19.925     1.382     
20.033     1.343     
20.144     1.299     
20.261     1.250     
20.378     1.197     
20.494     1.142     
20.605     1.088     
20.714     1.034     
20.818     0.982     
20.921     0.931     
21.023     0.881     
21.126     0.832     
21.229     0.785     
21.333     0.740     
21.439     0.697     
21.547     0.656     
21.659     0.619     
21.774     0.585     
21.889     0.557     
22.002     0.535     
22.112     0.520     
22.220     0.510     
22.327     0.507     
22.433     0.508     
22.538     0.516     
22.644     0.529     
22.750     0.547     
22.857     0.570     
22.966     0.599     
23.078     0.634     
23.192     0.674     
23.311     0.721     
23.431     0.772     
23.549     0.825     
23.665     0.880     
23.778     0.936     
23.890     0.991     
24.001     1.047     
24.113     1.102     
24.227     1.157     
24.344     1.212     
24.464     1.266     
24.589     1.317     
24.719     1.366     
24.855     1.411     
24.988     1.448     
25.117     1.476     
25.242     1.497     
25.364     1.510     
25.484     1.515     
25.603     1.514     
25.721     1.505     
25.840     1.490     
25.960     1.468     
26.082     1.439     
26.206     1.404     
26.333     1.361     
26.466     1.310     
26.604     1.252     
26.748     1.187     
26.890     1.119     
27.027     1.051     
27.159     0.985     
27.289     0.921     
27.418     0.858     
27.548     0.798     
27.680     0.740     
27.815     0.686     
27.955     0.635     
28.102     0.591     
28.253     0.554     
28.404     0.527     
28.552     0.512     
28.700     0.507     
28.847     0.513     
28.996     0.530     
29.149     0.558     
29.306     0.597     
29.472     0.650     
29.649     0.717     
29.844     0.801     
30.000     0.874     
