# phi      u         
11.549     1.325     
11.652     1.362     
11.756     1.396     
11.858     1.425     
11.956     1.449     
12.052     1.468     
12.145     1.482     
12.236     1.492     
12.327     1.498     
12.416     1.500     
12.505     1.497     
12.594     1.491     
12.683     1.481     
12.772     1.467     
12.861     1.450     
12.952     1.428     
13.044     1.403     
13.138     1.373     
13.234     1.340     
13.332     1.302     
13.434     1.260     
13.540     1.214     
13.644     1.166     
13.745     1.117     
13.843     1.069     
13.938     1.022     
14.031     0.976     
14.122     0.930     
14.213     0.886     
14.303     0.842     
14.394     0.800     
14.486     0.759     
14.580     0.719     
14.674     0.681     
14.771     0.646     
14.871     0.612     
14.973     0.582     
15.075     0.557     
15.174     0.536     
15.271     0.520     
15.367     0.509     
15.461     0.503     
15.554     0.501     
15.647     0.503     
15.739     0.509     
15.831     0.520     
15.924     0.534     
16.017     0.553     
16.112     0.577     
16.208     0.604     
16.306     0.636     
16.406     0.672     
16.510     0.712     
16.614     0.756     
16.716     0.802     
16.817     0.849     
16.915     0.896     
17.011     0.944     
17.107     0.991     
17.201     1.039     
17.297     1.086     
17.393     1.133     
17.492     1.180     
17.593     1.226     
17.697     1.271     
17.805     1.314     
17.916     1.356     
18.029     1.393     
18.140     1.425     
18.247     1.450     
18.352     1.470     
18.453     1.485     
18.553     1.494     
18.651     1.499     
18.748     1.499     
18.845     1.494     
18.942     1.484     
19.040     1.470     
19.138     1.451     
19.237     1.428     
19.337     1.400     
19.440     1.367     
19.545     1.329     
19.654     1.287     
19.767     1.239     
19.882     1.187     
19.995     1.133     
20.104     1.080     
20.210     1.028     
20.313     0.976     
20.414     0.926     
20.514     0.877     
20.614     0.829     
20.715     0.783     
20.817     0.738     
20.921     0.695     
21.027     0.655     
21.137     0.618     
21.249     0.584     
21.362     0.556     
21.473     0.533     
21.582     0.517     
21.688     0.506     
21.793     0.501     
21.897     0.502     
22.000     0.507     
22.104     0.518     
22.208     0.535     
22.313     0.556     
22.419     0.583     
22.527     0.615     
22.638     0.653     
22.753     0.696     
22.871     0.745     
22.988     0.797     
23.102     0.850     
23.214     0.904     
23.324     0.958     
23.432     1.013     
23.541     1.067     
23.650     1.120     
23.763     1.174     
23.878     1.227     
23.997     1.278     
24.120     1.327     
24.249     1.373     
24.379     1.413     
24.506     1.445     
24.628     1.469     
24.748     1.486     
24.864     1.496     
24.979     1.499     
25.093     1.496     
25.207     1.486     
25.321     1.470     
25.437     1.448     
25.554     1.419     
25.674     1.383     
25.797     1.341     
25.924     1.292     
26.058     1.235     
26.196     1.172     
26.331     1.108     
26.462     1.043     
26.589     0.980     
26.713     0.918     
26.836     0.858     
26.960     0.800     
27.086     0.744     
27.215     0.692     
27.347     0.642     
27.485     0.598     
27.629     0.560     
27.772     0.531     
27.912     0.512     
28.051     0.502     
28.188     0.502     
28.326     0.512     
28.465     0.530     
28.606     0.559     
28.752     0.597     
28.903     0.646     
29.062     0.707     
29.232     0.779     
29.404     0.859     
29.576     0.943     
29.752     1.031     
29.936     1.121     
30.000     1.152     
