
# x      y        dy      , Gy      
0.358    0.308    0.639    0.186   
0.374    0.318    0.611    0.191   
0.390    0.327    0.583    0.196   
0.405    0.336    0.554    0.201   
0.421    0.344    0.523    0.206   
0.437    0.352    0.493    0.212   
0.452    0.360    0.461    0.218   
0.468    0.367    0.429    0.223   
0.483    0.373    0.397    0.229   
0.499    0.379    0.364    0.235   
0.515    0.385    0.330    0.241   
0.530    0.390    0.296    0.247   
0.546    0.394    0.262    0.253   
0.562    0.398    0.228    0.259   
0.577    0.401    0.193    0.265   
0.593    0.404    0.158    0.272   
0.608    0.406    0.124    0.278   
0.624    0.408    0.089    0.284   
0.640    0.409    0.054    0.291   
0.655    0.409    0.019    0.297   
0.671    0.409    -0.016   0.304   
0.687    0.409    -0.050   0.310   
0.702    0.408    -0.084   0.316   
0.718    0.406    -0.118   0.323   
0.733    0.404    -0.152   0.329   
0.749    0.401    -0.185   0.335   
0.765    0.398    -0.217   0.342   
0.780    0.395    -0.249   0.348   
0.796    0.390    -0.281   0.354   
0.812    0.386    -0.311   0.360   
0.827    0.381    -0.341   0.366   
0.843    0.375    -0.370   0.372   
0.858    0.369    -0.398   0.378   
0.874    0.363    -0.426   0.383   
0.890    0.356    -0.452   0.389   
0.905    0.349    -0.477   0.394   
0.921    0.341    -0.501   0.400   
0.937    0.333    -0.524   0.405   
0.952    0.325    -0.546   0.410   
0.968    0.316    -0.566   0.415   
0.983    0.307    -0.585   0.420   
0.999    0.298    -0.603   0.425   
1.015    0.288    -0.619   0.429   
1.030    0.278    -0.634   0.434   
1.046    0.268    -0.647   0.438   
1.062    0.258    -0.659   0.442   
1.077    0.248    -0.669   0.446   
1.093    0.237    -0.677   0.450   
1.108    0.227    -0.684   0.454   
1.124    0.216    -0.689   0.457   
1.140    0.205    -0.692   0.460   
1.155    0.194    -0.693   0.463   
1.171    0.183    -0.693   0.466   
1.187    0.173    -0.691   0.469   
1.202    0.162    -0.686   0.472   
1.218    0.151    -0.680   0.474   
1.233    0.141    -0.672   0.477   
1.249    0.130    -0.662   0.479   
1.265    0.120    -0.651   0.481   
1.280    0.110    -0.637   0.482   
1.296    0.100    -0.621   0.484   
1.312    0.090    -0.603   0.486   
1.327    0.081    -0.583   0.487   
1.343    0.072    -0.561   0.488   
1.358    0.064    -0.538   0.489   
1.374    0.055    -0.512   0.490   
1.390    0.048    -0.484   0.491   
1.405    0.040    -0.454   0.492   
1.421    0.033    -0.423   0.492   
1.437    0.027    -0.389   0.493   
1.452    0.021    -0.354   0.493   
1.468    0.016    -0.316   0.493   
1.483    0.011    -0.277   0.494   
1.499    0.007    -0.236   0.494   
1.515    0.004    -0.193   0.494   
1.530    0.001    -0.148   0.494   
1.546    -0.001   -0.102   0.494   
1.562    -0.002   -0.054   0.494   
1.577    -0.002   -0.005   0.494   
1.593    -0.002   0.047    0.494   
1.608    -0.001   0.099    0.494   
1.624    0.001    0.153    0.494   
1.640    0.004    0.209    0.494   
1.655    0.008    0.266    0.494   
1.671    0.012    0.324    0.494   
1.687    0.018    0.383    0.494   
